shipment_id,supplier_code,sku,hs_declared,hs_master,product_name,region,destination_port,order_date,etd_shipped,eta_planned,ata_arrival,customs_cleared,warehouse_receipt,unit_price_usd,fob_total_usd,freight_usd,insurance_usd,customs_value_usd,duty_igi_mxn,dta_mxn,iva_mxn,broker_fee_mxn,drayage_mxn,demurrage_mxn,storage_mxn,days_against_plan,total_lead_days,landed_cost_mxn,cost_per_unit_mxn,category,origin_port
IMP-2023-0011,SUP-1006,SKU-119,,8479500100,6-Axis Industrial Robot IR-119,East China,LZC,2023-01-08,2023-04-13,2023-05-11,2023-05-11,2023-05-13,2023-05-16,51319.58,51319.58,0.0,0.0,51488.67,46866.79,7498.69,158672.2,8472.75,28976.63,0.0,0.0,0.0,128.0,1026072.4180259999,1026072.4180259999,Industrial robot,Ningbo-Zhoushan
IMP-2023-0012,SUP-1005,SKU-109,8458110100,8458110100,CNC Turning Centre TC-109,South China,Manzanillo,2023-01-10,2023-03-13,2023-04-26,2023-04-26,2023-05-09,2023-05-12,77147.82,308591.28,6831.27,0.0,317218.09,578260.03,46260.8,1025139.38,6027.08,35282.06,0.0,8951.89,0.0,122.0,6424651.0662050005,1606162.7665512501,CNC lathe,Shekou
IMP-2023-0013,SUP-1013,SKU-120,8479500100,8479500100,6-Axis Industrial Robot IR-120,East China,Veracruz,2023-01-11,2023-04-16,2023-06-07,2023-06-07,,2023-06-14,61591.84,369551.04,10432.41,0.0,379983.45,342416.39,54786.62,1159284.92,8859.82,169125.55,0.0,0.0,0.0,154.0,7423516.104315,1237252.6840525,Industrial robot,Shanghai
IMP-2023-0014,SUP-1003,SKU-126,8422309900,8422309900,Automatic Filling & Sealing Line PFS-126,South China,Manzanillo,2023-01-11,2023-05-11,2023-06-19,2023-07-23,2023-07-30,2023-08-03,29237.76,58475.52,7178.36,221.59,65875.47,118393.37,9471.47,209887.77,6901.34,33326.45,12502.56,0.0,34.0,204.0,1364528.8994809997,682264.4497404998,Packaging machine,Nansha
IMP-2023-0015,SUP-1010,SKU-110,8456110100,8456110100,Fibre Laser Cutting Machine FL-110,East China,Veracruz,2023-01-11,2023-04-08,2023-05-28,2023-06-15,2023-06-17,2023-06-18,19785.49,39570.98,9261.76,149.32,48982.06,88278.9,7062.31,156500.83,8142.4,78099.18,4011.98,0.0,18.0,158.0,1068383.742762,534191.871381,Laser cutting machine,Taizhou
IMP-2023-0016,SUP-1006,SKU-101,8457100100,8457100100,CNC Vertical Machining Centre VMC-101,East China,Lázaro Cárdenas,2023-01-11,2023-03-04,2023-04-17,2023-04-17,2023-05-05,2023-05-08,149396.56,597586.24,0.0,3041.42,600627.66,1094890.17,87591.21,1941021.29,5857.84,83902.1,0.0,7765.81,0.0,117.0,12228908.806906002,3057227.2017265004,CNC machining centre,Ningbo-Zhoushan
IMP-2023-0017,SUP-1012,SKU-115,8477100100,8477100100,Injection Moulding Machine IMM-115,East China,Manzanillo,2023-01-15,2023-04-12,2023-05-21,2023-05-21,2023-05-23,2023-05-24,43878.18,87756.36,9072.06,0.0,97134.66,176830.73,14146.46,313485.53,9178.53,33213.9,0.0,0.0,0.0,129.0,1996101.9575739997,998050.9787869998,Injection moulding machine,Shanghai
IMP-2023-0018,SUP-1005,SKU-138,8428330100,8428330100,Modular Belt Conveyor CV-138,South China,Lázaro Cárdenas,2023-01-18,2023-04-07,2023-05-06,2023-05-08,2023-05-14,2023-05-18,11525.91,34577.73,7182.7,203.51,41963.94,76394.09,6111.53,135431.45,5795.69,58798.06,0.0,0.0,2.0,120.0,911040.308518,303680.1028393333,Conveyor system,Shekou
IMP-2023-0019,SUP-1004,SKU-131,8462910100,8462910100,Hydraulic Press HP-131,South China,Manzanillo,2023-01-18,2023-04-05,,2023-05-10,2023-05-13,2023-05-15,74092.21,222276.63,8195.68,0.0,231715.83,421831.72,33746.54,747823.27,4111.26,34872.6,0.0,0.0,,117.0,4690241.381857,1563413.7939523335,Hydraulic press,Yantian
IMP-2023-0020,SUP-1014,SKU-122,8414809900,8414809900,Screw Air Compressor SAC-122,East China,Lázaro Cárdenas,2023-01-20,2023-05-09,2023-06-18,2023-06-18,2023-06-21,2023-06-22,24491.02,24491.02,6032.42,145.59,30669.03,82910.81,4421.91,102411.43,8731.29,38196.74,0.0,0.0,0.0,153.0,686999.476981,686999.476981,Air compressor,Nantong
IMP-2023-0021,SUP-1003,SKU-133,8462910100,8462910100,Hydraulic Press HP-133,South China,Veracruz,2023-01-21,2023-04-20,2023-06-09,2023-06-09,2023-06-14,2023-06-17,93894.69,375578.76,11475.87,2033.53,389088.16,701241.92,56099.35,1243161.67,8748.91,92363.23,0.0,0.0,0.0,147.0,7870872.591232001,1967718.1478080002,Hydraulic press,Nansha
IMP-2023-0022,SUP-1012,SKU-103,8457100100,8457100100,CNC Vertical Machining Centre VMC-103,East China,Manzanillo,2023-01-21,2023-04-13,2023-05-25,2023-05-25,2023-05-27,2023-05-28,158274.15,316548.3,5793.28,1257.13,323598.71,589101.74,47128.14,1044359.57,8407.61,31635.58,0.0,0.0,0.0,127.0,6567290.505937001,3283645.2529685004,CNC machining centre,Shanghai
IMP-2023-0023,SUP-1002,SKU-125,8414809900,8414809900,Screw Air Compressor SAC-125,South China,Manzanillo,2023-01-22,2023-04-12,2023-05-17,2023-05-29,2023-06-05,2023-06-06,14918.7,59674.8,8842.03,238.38,68755.21,187750.2,10013.34,231909.04,7411.32,40907.29,12177.35,0.0,12.0,135.0,1509927.4714870001,377481.86787175003,Air compressor,Shekou
IMP-2023-0024,SUP-1012,SKU-142,8515310100,8515310100,Inverter Arc Welding Power Source AW-142,East China,Lázaro Cárdenas,2023-01-24,2023-04-03,2023-05-11,2023-06-14,2023-06-23,2023-06-24,7005.02,14010.04,0.0,83.57,14093.61,38100.74,2032.04,47062.03,5548.49,44186.29,24069.32,0.0,34.0,151.0,367941.784947,183970.8924735,Arc welding machine,Shanghai
IMP-2023-0025,SUP-1004,SKU-124,8414809900,8414809900,Screw Air Compressor SAC-124,South China,Manzanillo,2023-01-24,2023-05-01,2023-06-05,2023-06-08,2023-06-15,2023-06-19,7581.65,7581.65,6552.53,39.69,14173.87,38317.71,2043.61,47330.04,5694.65,26551.43,0.0,0.0,3.0,146.0,328058.80684900004,328058.80684900004,Air compressor,Yantian
IMP-2023-0026,SUP-1010,SKU-129,8422309900,8422309900,Automatic Filling & Sealing Line PFS-129,East China,Veracruz,2023-01-25,2023-04-30,2023-06-15,2023-06-15,2023-06-21,2023-06-22,40021.88,160087.52,7647.99,868.63,168604.14,303870.18,24309.61,538701.06,3586.6,131113.7,0.0,0.0,0.0,148.0,3501581.9239779995,875395.4809944999,Packaging machine,Taizhou
IMP-2023-0027,SUP-1013,SKU-109,8458110100,8458110100,CNC Turning Centre TC-109,East China,Manzanillo,2023-01-25,2023-03-23,2023-05-08,2023-05-08,2023-05-13,,81593.61,81593.61,6909.21,316.49,88819.31,161692.89,12935.43,286649.15,6363.07,18493.44,0.0,0.0,0.0,,1816413.7227570002,1816413.7227570002,CNC lathe,Shanghai
IMP-2023-0028,SUP-1002,SKU-102,8457100100,8457100100,CNC Vertical Machining Centre VMC-102,South China,Manzanillo,2023-01-26,2023-04-17,2023-05-26,2023-05-26,2023-05-28,2023-05-29,96661.01,96661.01,6200.75,472.19,103333.95,188116.36,15049.31,333492.68,6314.09,26182.47,0.0,0.0,0.0,123.0,2116825.7895649998,2116825.7895649998,CNC machining centre,Shekou
IMP-2023-0029,SUP-1007,SKU-129,8422309900,8422309900,Automatic Filling & Sealing Line PFS-129,East China,Manzanillo,2023-01-26,2023-04-28,2023-06-10,2023-06-09,2023-06-17,2023-06-20,39056.09,39056.09,7662.92,0.0,46912.83,84549.59,6763.97,149889.51,3947.72,22182.18,0.0,0.0,-1.0,145.0,959446.1615269999,959446.1615269999,Packaging machine,Ningbo-Zhoushan
IMP-2023-0030,SUP-1008,SKU-112,8456110100,8456110100,Fibre Laser Cutting Machine FL-112,East China,Lázaro Cárdenas,2023-01-27,2023-04-28,2023-06-03,2023-06-03,2023-06-05,2023-06-09,67544.33,135088.66,7544.03,656.72,143289.41,258246.2,20659.7,457818.87,6824.9,49868.92,0.0,0.0,0.0,133.0,2918061.7696070005,1459030.8848035003,Laser cutting machine,Wenzhou
IMP-2023-0031,SUP-1013,SKU-137,8428330100,8428330100,Modular Belt Conveyor CV-137,East China,Manzanillo,2023-01-28,2023-03-18,2023-04-21,2023-04-21,2023-04-28,2023-04-30,33630.83,33630.83,8037.5,122.42,41790.75,76180.78,6094.46,135053.28,5977.83,23765.89,0.0,0.0,0.0,92.0,873826.720825,873826.720825,Conveyor system,Shanghai
IMP-2023-0032,SUP-1010,SKU-125,8414809900,8414809900,Screw Air Compressor SAC-125,East China,Manzanillo,2023-02-02,2023-04-13,2023-05-27,2023-06-22,2023-06-24,2023-06-27,14221.38,14221.38,0.0,66.25,14287.63,38625.25,2060.01,47709.91,6215.61,26702.57,30593.5,0.0,26.0,145.0,361698.60920099996,361698.60920099996,Air compressor,Taizhou
IMP-2023-0033,SUP-1012,SKU-141,8515310100,8515310100,Inverter Arc Welding Power Source AW-141,East China,Manzanillo,2023-02-02,2023-04-08,2023-05-09,2023-05-27,,2023-06-03,27343.05,54686.1,8542.1,225.41,63453.61,173273.09,9241.23,214026.92,8243.66,29280.53,0.0,0.0,18.0,121.0,1375192.4439669999,687596.2219834999,Arc welding machine,Shanghai
IMP-2023-0034,SUP-1008,SKU-126,8422309900,8422309900,Automatic Filling & Sealing Line PFS-126,East China,Manzanillo,2023-02-04,2023-06-04,2023-07-14,2023-07-14,2023-07-19,2023-07-21,31610.25,31610.25,0.0,0.0,31727.3,57021.26,4561.7,101087.28,7607.56,25452.47,0.0,0.0,0.0,167.0,662751.886075,662751.886075,Packaging machine,Wenzhou
IMP-2023-0035,SUP-1006,SKU-127,8422309900,8422309900,Automatic Filling & Sealing Line PFS-127,East China,Manzanillo,2023-02-04,2023-05-05,2023-06-11,2023-07-15,2023-07-28,2023-07-30,52585.36,105170.72,0.0,488.68,113031.45,203143.51,16251.48,360132.82,6649.92,29978.65,40538.63,11484.81,34.0,176.0,2206989.43462,1103494.71731,Packaging machine,Ningbo-Zhoushan
IMP-2023-0036,SUP-1014,SKU-122,8414809900,8414809900,Screw Air Compressor SAC-122,East China,Manzanillo,2023-02-04,2023-05-28,2023-07-04,2023-07-04,2023-07-07,2023-07-08,25311.44,50622.88,0.0,0.0,50912.15,137251.27,7320.07,169532.76,4331.16,35923.1,0.0,0.0,0.0,154.0,1094635.186224,547317.593112,Air compressor,Nantong
IMP-2023-0037,SUP-1011,SKU-135,8480710100,8480710100,Precision Injection Mould MD-135,East China,Manzanillo,2023-02-04,2023-04-23,2023-06-04,2023-06-04,2023-06-24,2023-06-26,4070.08,12210.24,0.0,70.32,21378.72,19265.11,3082.42,65223.97,8851.24,42525.47,0.0,0.0,0.0,142.0,295053.088712,98351.02957066667,Mould and die,Shanghai
IMP-2023-0038,SUP-1014,SKU-128,8422309900,8422309900,Automatic Filling & Sealing Line PFS-128,East China,Manzanillo,2023-02-05,2023-05-03,2023-06-09,2023-06-17,2023-06-26,2023-06-30,52317.21,156951.63,6679.11,0.0,164519.11,296507.86,23720.63,525649.13,9119.07,35129.8,36728.77,0.0,8.0,145.0,3350273.8677979996,1116757.9559326665,Packaging machine,Nantong
IMP-2023-0039,SUP-1007,SKU-128,8422309900,8422309900,Automatic Filling & Sealing Line PFS-128,East China,Veracruz,2023-02-06,2023-05-07,2023-06-21,2023-06-21,2023-07-08,2023-07-11,49269.95,197079.8,0.0,0.0,198078.42,356990.79,28559.26,632873.28,3853.78,91453.87,0.0,0.0,0.0,155.0,4032767.81146,1008191.952865,Packaging machine,Ningbo-Zhoushan
IMP-2023-0040,SUP-1005,SKU-138,8428330100,8428330100,Modular Belt Conveyor CV-138,South China,Manzanillo,2023-02-06,2023-05-05,2023-06-17,2023-06-17,2023-06-19,2023-06-22,11466.08,11466.08,5146.06,53.03,16665.17,30035.14,2402.81,53246.29,5329.02,18760.25,0.0,0.0,0.0,136.0,356878.57935899997,356878.57935899997,Conveyor system,Shekou
IMP-2023-0041,SUP-1001,SKU-115,8477100100,8477100100,Injection Moulding Machine IMM-115,South China,Lázaro Cárdenas,2023-02-06,2023-04-16,2023-05-26,2023-05-26,2023-06-04,2023-06-05,44621.1,89242.2,0.0,418.14,89660.34,163223.96,13057.92,289363.43,5414.9,50489.94,0.0,0.0,0.0,119.0,1864426.311598,932213.155799,Injection moulding machine,Yantian
IMP-2023-0042,SUP-1003,SKU-133,8462910100,8462910100,Hydraulic Press HP-133,South China,Manzanillo,2023-02-07,2023-05-14,2023-06-26,2023-06-26,2023-06-30,2023-07-03,89664.75,89664.75,8268.36,0.0,98383.56,177313.74,14185.1,314341.8,5692.25,21265.53,0.0,0.0,0.0,146.0,1983475.681597,1983475.681597,Hydraulic press,Nansha
IMP-2023-0043,SUP-1007,SKU-129,8422309900,8422309900,Automatic Filling & Sealing Line PFS-129,East China,Lázaro Cárdenas,2023-02-07,2023-05-21,2023-06-30,2023-07-03,2023-07-08,2023-07-10,36514.57,109543.71,6861.2,441.57,116846.48,210000.0,16800.0,372288.0,5945.25,50507.19,0.0,0.0,3.0,153.0,2383252.432504,794417.4775013333,Packaging machine,Ningbo-Zhoushan
IMP-2023-0044,SUP-1014,SKU-134,8480710100,8480710100,Precision Injection Mould MD-134,East China,Manzanillo,2023-02-10,2023-04-12,2023-05-19,2023-05-19,2023-05-21,2023-05-23,7389.25,14778.5,5970.9,57.89,20807.29,18939.52,3030.32,64121.65,4211.35,28546.29,0.0,0.0,0.0,102.0,433517.95226299996,216758.97613149998,Mould and die,Nantong
IMP-2023-0045,SUP-1013,SKU-137,8428330100,8428330100,Modular Belt Conveyor CV-137,East China,Lázaro Cárdenas,2023-02-13,2023-04-05,2023-05-10,2023-05-10,2023-05-12,2023-05-16,32795.67,131182.68,0.0,567.18,131749.86,239846.67,19187.73,425200.17,6415.49,76368.03,0.0,0.0,0.0,92.0,2740284.5963419997,685071.1490854999,Conveyor system,Shanghai
IMP-2023-0046,SUP-1013,SKU-109,8458110100,8458110100,CNC Turning Centre TC-109,East China,,2023-02-14,2023-04-08,2023-05-26,2023-06-13,2023-06-15,2023-06-17,77537.9,155075.8,7922.99,873.68,163872.47,295342.44,23627.39,523583.07,5317.3,35941.88,0.0,0.0,18.0,123.0,3313653.375069,1656826.6875345,CNC lathe,Shanghai
IMP-2023-0047,SUP-1008,SKU-112,8456110100,8456110100,Fibre Laser Cutting Machine FL-112,East China,Manzanillo,2023-02-14,2023-05-10,2023-06-19,2023-06-19,2023-06-24,,69564.58,69564.58,8102.95,375.31,78042.84,140654.27,11252.34,249351.89,4013.36,18719.17,0.0,0.0,0.0,,1581181.8324679998,1581181.8324679998,Laser cutting machine,Wenzhou
IMP-2023-0048,SUP-1005,SKU-117,8477100100,8477100100,Injection Moulding Machine IMM-117,South China,Manzanillo,2023-02-15,2023-05-13,2023-07-01,2023-07-01,2023-07-09,2023-07-11,34936.6,34936.6,4930.03,0.0,39866.63,71649.5,5731.96,127020.24,7084.86,25250.21,0.0,0.0,0.0,146.0,826211.564349,826211.564349,Injection moulding machine,Shekou
IMP-2023-0049,SUP-1005,SKU-138,8428330100,8428330100,Modular Belt Conveyor CV-138,South China,Veracruz,2023-02-18,2023-05-20,2023-07-11,2023-07-12,2023-07-20,2023-07-24,11881.75,11881.75,9442.39,36.36,21360.5,38389.73,3071.18,68057.32,5964.27,64857.44,0.0,0.0,1.0,156.0,496179.93415,496179.93415,Conveyor system,Shekou
IMP-2023-0050,SUP-1006,SKU-114,8477100100,8477100100,Injection Moulding Machine IMM-114,East China,Lázaro Cárdenas,2023-02-19,2023-05-26,2023-06-25,2023-07-03,2023-07-10,2023-07-13,69291.68,-207875.04,0.0,660.54,208535.58,374786.4,29982.91,664421.33,5362.88,62612.17,0.0,0.0,8.0,144.0,-3251376.7983500003,1083792.2661166668,Injection moulding machine,Ningbo-Zhoushan
IMP-2023-0051,SUP-1014,SKU-999,8457100100,,,East China,Manzanillo,2023-02-21,2023-05-07,2023-06-11,2023-06-11,2023-06-20,2023-06-21,159819.12,479457.36,0.0,1581.07,481038.43,866961.13,69356.89,1536948.69,5882.24,32328.25,0.0,0.0,0.0,120.0,9644139.822361,3214713.274120333,,Nantong
IMP-2023-0052,SUP-1002,SKU-112,8458110100,8456110100,Fibre Laser Cutting Machine FL-112,South China,Lázaro Cárdenas,2023-02-23,2023-05-17,2023-06-22,2023-06-30,2023-07-02,2023-07-03,66656.89,133313.78,7363.93,533.63,141211.34,254500.96,20360.08,451179.3,5227.03,43390.01,25258.34,0.0,8.0,130.0,2893746.037418,1446873.018709,Laser cutting machine,Shekou
IMP-2023-0053,SUP-1014,SKU-104,8457100100,8457100100,CNC Vertical Machining Centre VMC-104,East China,Manzanillo,2023-02-24,2023-05-05,2023-06-10,2023-06-10,2023-06-17,2023-06-20,160298.79,160298.79,6735.87,0.0,167624.1,302103.89,24168.31,535569.77,4840.89,25947.47,0.0,0.0,0.0,116.0,3367476.126782,3367476.126782,CNC machining centre,Nantong
IMP-2023-0054,SUP-1011,SKU-113,8456110100,8456110100,Fibre Laser Cutting Machine FL-113,East China,Manzanillo,2023-02-24,2023-06-13,2023-07-22,,2023-07-26,2023-07-31,58433.37,116866.74,8998.86,400.44,126266.04,226929.12,18154.33,402299.94,6498.27,23262.57,0.0,0.0,,157.0,2544135.440692,1272067.720346,Laser cutting machine,Shanghai
IMP-2023-0055,SUP-1001,SKU-111,8456110100,8456110100,Fibre Laser Cutting Machine FL-111,South China,Manzanillo,2023-02-27,2023-04-17,2023-05-29,2023-05-29,2023-06-04,2023-06-05,45088.38,135265.14,7440.88,494.97,143200.99,260693.11,20855.45,462156.74,7418.1,34244.0,0.0,0.0,0.0,98.0,2930141.722653,976713.907551,Laser cutting machine,Yantian
IMP-2023-0056,SUP-1011,SKU-127,8422309900,8422309900,Automatic Filling & Sealing Line PFS-127,East China,Manzanillo,2023-03-01,2023-05-19,2023-06-20,2023-07-24,2023-07-28,2023-07-29,51966.41,207865.64,0.0,679.94,208545.58,374804.37,29984.35,664453.19,6379.45,36731.63,44136.33,0.0,34.0,150.0,4240079.857434001,1060019.9643585002,Packaging machine,Shanghai
IMP-2023-0057,SUP-1008,SKU-118,8477100100,8477100100,Injection Moulding Machine IMM-118,East China,Manzanillo,2023-03-01,2023-05-25,2023-06-28,2023-06-28,2023-07-06,2023-07-07,28614.44,28614.44,7109.73,159.07,35883.24,64671.29,5173.7,114649.26,6604.56,20493.67,0.0,0.0,0.0,128.0,743656.0895479999,743656.0895479999,Injection moulding machine,Wenzhou
IMP-2023-0058,SUP-1002,SKU-124,8414809900,8414809900,Screw Air Compressor SAC-124,South China,Manzanillo,2023-03-02,2023-05-17,2023-06-15,2023-06-17,2023-07-09,,8118.89,48713.34,6679.45,190.46,55583.25,150264.04,8014.08,185606.14,8921.07,74055.06,0.0,0.0,2.0,,1243014.489775,207169.08162916664,Air compressor,Shekou
IMP-2023-0059,SUP-1007,SKU-141,8515310100,8515310100,Inverter Arc Welding Power Source AW-141,East China,Manzanillo,2023-03-04,2023-04-20,2023-05-20,2023-05-23,2023-06-06,2023-06-10,28380.55,28380.55,7334.82,0.0,35858.34,97918.55,5222.32,120948.99,7995.84,26741.65,0.0,6405.96,3.0,98.0,794471.9162389998,794471.9162389998,Arc welding machine,Ningbo-Zhoushan
IMP-2023-0060,SUP-1011,SKU-122,8414809900,8414809900,Screw Air Compressor SAC-122,East China,Lázaro Cárdenas,2023-03-05,2023-06-08,2023-07-05,2023-07-23,2023-07-27,2023-07-30,23698.14,47396.28,9299.31,143.12,56838.71,153228.35,8172.18,189267.66,4931.32,46427.05,8069.65,0.0,18.0,147.0,1242350.897733,621175.4488665,Air compressor,Shanghai
IMP-2023-0061,SUP-1014,SKU-120,8479500100,8479500100,6-Axis Industrial Robot IR-120,East China,Veracruz,2023-03-05,2023-06-06,2023-07-14,2023-07-14,2023-07-17,2023-07-21,58195.15,232780.6,0.0,0.0,233871.31,210160.27,33625.64,711518.6,5576.31,128330.43,0.0,0.0,0.0,138.0,4561295.42738,1140323.856845,Industrial robot,Nantong
IMP-2023-0062,SUP-1011,SKU-127,8422309900,8422309900,Automatic Filling & Sealing Line PFS-127,East China,Manzanillo,2023-03-05,2023-05-22,2023-06-26,2023-06-26,2023-07-02,2023-07-04,56305.82,168917.46,5410.96,577.86,174906.28,315228.34,25218.27,558836.8,7623.17,43497.57,0.0,0.0,0.0,121.0,3543850.7625559997,1181283.5875186666,Packaging machine,Shanghai
IMP-2023-0063,SUP-1009,SKU-131,8462910100,8462910100,Hydraulic Press HP-131,East China,Manzanillo,2023-03-06,2023-05-06,2023-06-08,2023-06-10,2023-06-19,2023-06-21,79714.62,79714.62,7741.95,0.0,87916.97,158450.12,12676.01,280900.37,7633.29,17464.18,0.0,0.0,2.0,107.0,1772427.124139,1772427.124139,Hydraulic press,Ningbo-Zhoushan
IMP-2023-0064,SUP-1007,SKU-132,8462910100,8462910100,Hydraulic Press HP-132,East China,Manzanillo,2023-03-07,2023-05-15,2023-06-17,2023-06-17,2023-07-08,2023-07-12,32032.67,64065.34,8063.57,0.0,72128.91,129995.77,10399.66,230456.5,7541.53,33901.97,0.0,6244.14,0.0,127.0,1488040.7762570002,744020.3881285001,Hydraulic press,Ningbo-Zhoushan
IMP-2023-0065,SUP-1014,SKU-134,8480710100,8480710100,Precision Injection Mould MD-134,East China,Manzanillo,2023-03-07,2023-04-15,2023-05-23,2023-06-18,2023-06-26,2023-06-29,7253.87,7253.87,7763.59,0.0,15052.48,13564.32,2170.29,45923.35,3604.53,18399.95,0.0,0.0,26.0,114.0,308394.266342,308394.266342,Mould and die,Nantong
IMP-2023-0066,SUP-1013,SKU-140,8515310100,8515310100,Inverter Arc Welding Power Source AW-140,East China,Manzanillo,2023-03-07,2023-05-29,2023-06-28,2023-07-03,2023-07-07,2023-07-09,25807.67,77423.01,9294.73,0.0,87097.4,234801.09,12522.72,290026.31,6782.34,39173.53,0.0,0.0,5.0,124.0,1851796.9186019998,617265.639534,Arc welding machine,Shanghai
IMP-2023-0067,SUP-1013,SKU-109,8458110100,8458110100,CNC Turning Centre TC-109,East China,Manzanillo,2023-03-08,2023-04-11,2023-05-14,2023-05-14,2023-05-29,2023-05-31,83776.16,502656.96,7149.35,0.0,512355.02,932726.94,74618.16,1653538.33,6825.72,57131.85,0.0,10638.04,0.0,84.0,10362811.641656999,1727135.2736094997,CNC lathe,Shanghai
IMP-2023-0068,SUP-1014,SKU-103,8457100100,8457100100,CNC Vertical Machining Centre VMC-103,East China,Lázaro Cárdenas,2023-03-09,2023-05-21,2023-06-20,2023-06-20,2023-06-26,2023-06-30,178390.49,178390.49,8952.62,558.44,187901.55,338649.33,27091.95,600357.53,5049.96,32268.8,0.0,0.0,0.0,113.0,3789553.305185,3789553.305185,CNC machining centre,Nantong
IMP-2023-0069,SUP-1002,SKU-125,8414809900,8414809900,Screw Air Compressor SAC-125,South China,Manzanillo,2023-03-09,2023-05-01,2023-06-05,2023-06-05,2023-06-09,2023-06-11,14746.28,29492.56,8613.05,142.31,38247.92,103399.62,5514.65,127719.21,7910.07,34135.18,0.0,0.0,0.0,94.0,840290.307784,,Air compressor,Shekou
