shipment_id,po_number,invoice_number,supplier_id,sku,order_date,etd_shipped,eta_planned,ata_arrival,customs_cleared,warehouse_receipt,carrier,vessel_voyage,incoterm,container_type,origin_port,destination_port,quantity,unit_price_usd,fob_total_usd,freight_usd,insurance_usd,net_weight_kg,gross_weight_kg,volume_cbm,hs_code,customs_value_usd,duty_igi_mxn,dta_mxn,iva_mxn,broker_fee_mxn,drayage_mxn,demurrage_mxn,storage_mxn,fx_rate_applied,qc_units_rejected,qc_inspection_notes,country_of_origin
IMP-2023-0011,PO-202301-011,INV-1006-202301-0001,SUP-1006,SKU-119,01/08/2023,04/13/2023,05/11/2023,05/11/2023,05/13/2023,05/16/2023,Yang Ming Marine Transport,COSCO ARIES 260W,CIF,20GP,Ningbo-Zhoushan,LZC,1,51319.58,51319.58,0.0,,2488.3,2709.7,3.39,,51488.67,46866.79,7498.69,158672.2,8472.75,28976.63,0.0,0.0,18.2047,,Emergency stop tested and passed,China
IMP-2023-0012,PO-202301-012,INV-1005-202301-0002,sup1005,SKU-109,10/01/2023,13/03/2023,26/04/2023,26/04/2023,09/05/2023,12/05/2023,Maersk,COSCO ARIES 756E,FOB,40 HC,Shekou,Manzanillo,4,77147.82,308591.28,6831.27,,53628.8,58986.1,47.4,8458110100,317218.09,578260.03,46260.8,1025139.38,6027.08,35282.06,0.0,8951.89,18.2291,2,Calibration certificate missing,China
IMP-2023-0013,PO-202301-013,INV-1013-202301-0003,SUP-1013,SKU-120,2023-01-11,2023-04-16,2023-06-07,2023-06-07,,2023-06-14,Yang Ming Marine Transport,COSCO VEGA 557E,EXW,20GP,Shanghai,Veracruz,6,"61,591.84",369551.04,10432.41,0.0,13096.8,15125.9,18.78,8479500100,379983.45,342416.39,54786.62,1159284.92,8859.82,169125.55,0.0,,18.0227,,,China
IMP-2023-0014,PO-202301-014,INV-1003-202301-0002,SUP-1003,SKU-126,11-01-2023,11-05-2023,19-06-2023,23-07-2023,30-07-2023,03-08-2023,Hapag-Lloyd,MSC PALOMA 423E,FOB,40GP,Nansha,Manzanillo,2,29237.76,58475.52,7178.36,221.59,12461.6,14043.1,24.32,8422309900,65875.47,118393.37,9471.47,209887.77,6901.34,33326.45,12502.56,0.0,17.9723,,,China
IMP-2023-0015,PO-202301-015,INV-1010-202301-0002,SUP-1010,SKU-110,2023-01-11,2023-04-08,2023-05-28,2023-06-15,2023-06-17,2023-06-18,MSC,MSC PALOMA 247W,DDP,20GP,Taizhou,Veracruz,2,"19,785.49",39570.98,9261.76,149.32,9379.8,10758.0,22.93,8456110100,48982.06,88278.9,7062.31,156500.83,8142.4,78099.18,4011.98,0.0,18.0227,,,China
IMP-2023-0016,PO-202301-016,INV-1006-202301-0002,SUP-1006,SKU-101,2023-01-11,2023-03-04,2023-04-17,2023-04-17,2023-05-05,2023-05-08,COSCO Shipping Lines,MAERSK COLUMBUS 414W,CIF,40HC,Ningbo-Zhoushan,Lázaro Cárdenas,4,149396.56,597586.24,0.0,3041.42,34170.0,38147.5,128.27,8457100100,600627.66,1094890.17,87591.21,1941021.29,5857.84,83902.1,0.0,7765.81,18.2291,2,Control panel door misaligned,China
IMP-2023-0017,PO-202301-017,INV-1012-202301-0001,SUP-1012,SKU-115,15-01-2023,12-04-2023,21-05-2023,21-05-2023,23-05-2023,24-05-2023,MSC,MSC PALOMA 148E,FOB,40GP,Shanghai,Manzanillo,2,43878.18,"$87,756.36",9072.06,,9126.0,10089.5,36.31,8477100100,97134.66,"MXN 176,830.73",14146.46,313485.53,9178.53,33213.9,0.0,0.0,18.2047,,,China
IMP-2023-0018,PO-202301-018,INV-1005-202301-0003,SUP-1005,SKU-138,2023-01-18,2023-04-07,2023-05-06,2023-05-08,2023-05-14,2023-05-18,Ocean Network Express,YM WELLNESS 687E,FOB,40 HC,Shekou,Lázaro Cárdenas,3,"11,525.91",34577.73,7182.7,203.51,15761.1,17064.3,39.31,8428 33 01 00,41963.94,76394.09,6111.53,135431.45,5795.69,58798.06,,0.0,18.2047,,,China
IMP-2023-0019,PO-202301-019,INV-1004-202301-0001,SUP-1004,SKU-131,01/18/2023,04/05/2023,,05/10/2023,05/13/2023,05/15/2023,Maersk,YM WELLNESS 438E,FOB,40HC,Yantian,Manzanillo,3,"$74,092.21","$222,276.63",8195.68,,67733.1,75681.0,73.14,8462910100,231715.83,"MXN 421,831.72",33746.54,747823.27,4111.26,34872.6,0.0,0.0,18.2047,0,Sin observaciones durante la inspección,China
IMP-2023-0020,PO-202301-020,INV-1014-202301-0003,SUP-1014,SKU-122,2023-01-20,2023-05-09,2023-06-18,2023-06-18,2023-06-21,2023-06-22,COSCO Shipping Lines,MAERSK ESSEX 812W,FOB,20GP,Nantong,Lázaro Cárdenas,1,24491.02,24491.02,6032.42,145.59,1294.2,1484.9,4.23,8414809900,30669.03,82910.81,4421.91,102411.43,8731.29,38196.74,,0.0,18.0227,0,Sin observaciones durante la inspección,China
IMP-2023-0021,PO-202301-021,INV-1003-202301-0003,SUP-1003,SKU-133,21/01/2023,20/04/2023,09/06/2023,09/06/2023,14/06/2023,17/06/2023,Ocean Network Express,MAERSK COLUMBUS 377E,FOB,40HC,Nansha,Veracruz,4,"93,894.69",375578.76,11475.87,2033.53,81089.2,91176.6,115.0,8462910100,389088.16,701241.92,56099.35,1243161.67,8748.91,92363.23,0.0,0.0,18.0227,,,China
IMP-2023-0022,PO-202301-022,INV-1012-202301-0002,SUP-1012,SKU-103,2023-01-21,2023-04-13,2023-05-25,2023-05-25,2023-05-27,2023-05-28,MSC,MAERSK COLUMBUS 488E,FOB,40GP,Shanghai,Manzanillo,2,158274.15,316548.30,5793.28,1257.13,36682.4,41650.7,35.25,8457100100,323598.71,589101.74,47128.14,1044359.57,8407.61,31635.58,0.0,0.0,18.2047,0,No issues found on inspection,China
IMP-2023-0023,PO-202301-023,INV-1002-202301-0002,SUP-1002,SKU-125,01/22/2023,04/12/2023,05/17/2023,05/29/2023,06/05/2023,06/06/2023,MSC,MSC ANZU 609E,FOB,20GP,Shekou,Manzanillo,4,14918.70,59674.80,8842.03,238.38,13322.0,15026.6,27.54,8414809900,68755.21,187750.2,10013.34,231909.04,7411.32,40907.29,12177.35,0.0,18.2047,,,China
IMP-2023-0024,PO-202301-024,INV-1012-202301-0003,SUP-1012,SKU-142,01/24/2023,04/03/2023,05/11/2023,06/14/2023,06/23/2023,06/24/2023,Hapag-Lloyd,COSCO ARIES 680E,CIF,20GP,Shanghai,Lázaro Cárdenas,2,7005.02,"$14,010.04",0.0,83.57,2373.8,2636.7,6.73,8515310100,14093.61,38100.74,2032.04,47062.03,5548.49,44186.29,24069.32,,18.0227,,,China
IMP-2023-0025,PO-202301-025,INV-1004-202301-0002,SUP-1004,SKU-124,2023-01-24,2023-05-01,2023-06-05,2023-06-08,2023-06-15,2023-06-19,Yang Ming Marine Transport,COSCO ARIES 225E,FOB,20GP,Yantian,Manzanillo,1,7581.65,"$7,581.65",6552.53,39.69,571.2,625.6,4.94,8414809900,14173.87,38317.71,2043.61,47330.04,5694.65,26551.43,0.0,,18.0227,,,China
IMP-2023-0026,PO-202301-026,INV-1010-202301-0003,SUP-1010,SKU-129,25/01/2023,30/04/2023,15/06/2023,15/06/2023,21/06/2023,22/06/2023,MSC,COSCO VEGA 523W,FOB,40GP,Taizhou,Veracruz,4,40021.88,160087.52,7647.99,868.63,31088.0,34823.7,69.8,8422309900,168604.14,303870.18,24309.61,538701.06,3586.6,131113.7,0.0,,18.0227,5,Sello de empaque roto,China
IMP-2023-0027,PO-202301-027,INV-1013-202301-0004,SUP-1013,SKU-109,01/25/2023,03/23/2023,05/08/2023,05/08/2023,05/13/2023,,Evergreen Marine,EVER LIBRA 369E,FOB,40GP,Shanghai,Manzanillo,1,81593.61,"$81,593.61",6909.21,316.49,13407.2,14896.3,13.18,8458110100,88819.31,161692.89,12935.43,286649.15,6363.07,18493.44,0.0,,18.2047,,,China
IMP-2023-0028,PO-202301-028,INV-1002-202301-0003,SUP-1002,SKU-102,26/01/2023,17/04/2023,26/05/2023,26/05/2023,28/05/2023,29/05/2023,Ocean Network Express,ONE APUS 524E,FOB,40GP,Shekou,Manzanillo,1,96661.01,96661.01,6200.75,472.19,15063.7,16530.3,19.1,8457100100,103333.95,188116.36,15049.31,333492.68,6314.09,26182.47,0.0,0.0,18.2047,,,China
IMP-2023-0029,PO-202301-029,INV-1007-202301-0001,SUP-1007,SKU-129,2023-01-26,2023-04-28,2023-06-10,2023-06-09,2023-06-17,2023-06-20,COSCO,HAPAG BERLIN EXPRESS 642E,FOB,40GP,Ningbo-Zhoushan,Manzanillo,1,"39.056,09",39056.09,7662.92,,7772.0,8948.2,18.15,8422309900,46912.83,84549.59,6763.97,149889.51,3947.72,22182.18,0.0,,18.0227,1,Vibración excesiva al arranque,China
IMP-2023-0030,PO-202301-030,INV-1008-202301-0001,SUP-1008,SKU-112,01/27/2023,04/28/2023,06/03/2023,06/03/2023,06/05/2023,06/09/2023,Ocean Network Express,EVER LIBRA 227E,FOB,20GP,Wenzhou,Lázaro Cárdenas,2,67544.33,"$135,088.66",7544.03,656.72,4287.2,4743.4,15.0,8456110100,143289.41,258246.2,20659.7,457818.87,6824.9,49868.92,0.0,0.0,18.0227,,,China
IMP-2023-0031,PO-202301-031,INV-1013-202301-0005,SUP-1013,SKU-137,28/01/2023,18/03/2023,21/04/2023,21/04/2023,28/04/2023,30/04/2023,Ocean Network Express,ONE APUS 458E, DDP,40GP,Shanghai,Manzanillo,1,33630.83,"$33,630.83",8037.5,122.42,5455.3,6185.3,18.75,8428330100,41790.75,76180.78,6094.46,135053.28,5977.83,23765.89,0.0,0.0,18.2291,,,China
IMP-2023-0032,PO-202302-001,INV-1010-202302-0001,SUP-1010,SKU-125,44959,45029,45073,45099,45101,45104,Hapag-Lloyd,MSC ANZU 225E,CIF,20GP,Taizhou,Manzanillo,1,14221.38,"$14,221.38",,66.25,3330.5,3629.2,7.2,8414809900,14287.63,38625.25,2060.01,47709.91,6215.61,26702.57,30593.5,0.0,18.0227,,,China
IMP-2023-0033,PO-202302-002,INV-1012-202302-0001,SUP-1012,SKU-141,02/02/2023,08/04/2023,09/05/2023,27/05/2023,,03/06/2023,COSCO Shipping Lines,MSC ANZU 288W,FOB,20GP,Shanghai,Manzanillo,2,27343.05,"$54,686.10",8542.1,225.41,3791.2,4289.1,8.49,8515310100,63453.61,173273.09,9241.23,214026.92,8243.66,29280.53,0.0,0.0,18.2047,,,China
IMP-2023-0034,PO-202302-003,INV-1008-202302-0001,SUP-1008,SKU-126,2023-02-04,2023-06-04,2023-07-14,2023-07-14,2023-07-19,2023-07-21,MSC,MAERSK COLUMBUS 691W,CIF,40GP,Wenzhou,Manzanillo,1,"$31,610.25","$31,610.25",0.0,,6230.8,7188.6,13.71,8422309900,31727.3,57021.26,4561.7,101087.28,7607.56,25452.47,0.0,,17.9723,2,Fuga de aceite hidráulico,China
IMP-2023-0035,PO-202302-004,INV-1006-202302-0001,SUP-1006,SKU-127,04/02/2023,05/05/2023,11/06/2023,15/07/2023,28/07/2023,30/07/2023,Ocean Network Express,MAERSK COLUMBUS 470W,FOB,40GP,Ningbo-Zhoushan,Manzanillo,2,52585.36,"$105,170.72",,488.68,7651.0,8723.2,40.16,8422309900,113031.45,203143.51,16251.48,360132.82,6649.92,29978.65,40538.63,11484.81,17.9723,,,China
IMP-2023-0036,PO-202302-005,INV-1014-202302-0001,SUP-1014,SKU-122,2023-02-04,2023-05-28,2023-07-04,2023-07-04,2023-07-07,2023-07-08,Ocean Network Express,YM WELLNESS 191E,CIF,20GP,Nantong,Manzanillo,2,"25,311.44",50622.88,0.0,,2588.4,3002.4,8.85,8414809900,50912.15,137251.27,7320.07,169532.76,4331.16,35923.1,0.0,0.0,17.9723,1,Wiring harness loose in cabinet,China
IMP-2023-0037,PO-202302-006,INV-1011-202302-0001,SUP-1011,SKU-135,02/04/2023,04/23/2023,06/04/2023,06/04/2023,06/24/2023,06/26/2023,COSCO Shipping Lines,MAERSK COLUMBUS 676W,FOB,20GP,Shanghai,Manzanillo,3,4070.08,12210.24,,70.32,5664.9,6311.0,13.11,8480710100,21378.72,19265.11,3082.42,65223.97,8851.24,42525.47,,,18.0227,,,China
IMP-2023-0038,PO-202302-007,INV-1014-202302-0002,SUP-1014,SKU-128,05/02/2023,03/05/2023,09/06/2023,17/06/2023,26/06/2023,30/06/2023,Evergreen Marine,COSCO VEGA 721E,FOB,20GP,Nantong,Manzanillo,3,52317.21,"$156,951.63",6679.11,,15458.4,17298.9,34.27,8422309900,164519.11,296507.86,23720.63,525649.13,9119.07,35129.8,36728.77,0.0,18.0227,5,Revisión eléctrica sin hallazgos,China
IMP-2023-0039,PO-202302-008,INV-1007-202302-0001,SUP-1007,SKU-128,2023-02-06,2023-05-07,2023-06-21,2023-06-21,2023-07-08,2023-07-11,MSC,MAERSK ESSEX 302E,CIF,,Ningbo-Zhoushan,Veracruz,4,49269.95,197079.80,0.0,,20611.2,23360.4,46.46,8422309900,198078.42,356990.79,28559.26,632873.28,3853.78,91453.87,0.0,0.0,18.0227,0,Sin observaciones durante la inspección,China
IMP-2023-0040,PO-202302-009,INV-1005-202302-0001,SUP-1005,SKU-138,44963,45051,45094,45094,45096,45099,MSC,MAERSK ESSEX 601E,FOB,40'GP,Shekou,Manzanillo,1,11466.08,"$11,466.08",5146.06,53.03,5253.7,5684.6,13.4,8428330100,16665.17,30035.14,2402.81,53246.29,5329.02,18760.25,0.0,0.0,18.0227,,,China
IMP-2023-0041,PO-202302-010,INV-1001-202302-0001,SUP-1001,SKU-115,2023-02-06,2023-04-16,2023-05-26,2023-05-26,2023-06-04,2023-06-05,Hapag-Lloyd,EVER LIBRA 663E,CIF,40GP,Yantian,Lázaro Cárdenas,2,"44,621.10",89242.20,0.0,418.14,9126.0,10139.4,35.82,8477100100,89660.34,163223.96,13057.92,289363.43,5414.9,50489.94,0.0,,18.2047,,,China
IMP-2023-0042,PO-202302-011,INV-1003-202302-0001,SUP-1003,SKU-133,2023-02-07,2023-05-14,2023-06-26,2023-06-26,2023-06-30,2023-07-03,Ocean Network Express,YM WELLNESS 149W,FOB,40HC,Nansha,Manzanillo,1,89664.75,"$89,664.75",8268.36,,20272.3,23125.0,28.12,8462910100,98383.56,177313.74,14185.1,314341.8,5692.25,21265.53,,0.0,18.0227,,,China
IMP-2023-0043,PO-202302-012,INV-1007-202302-0002,SUP-1007,SKU-129,07-02-2023,21-05-2023,30-06-2023,03-07-2023,08-07-2023,10-07-2023,Evergreen Marine,MAERSK COLUMBUS 636W,FOB,40GP,Ningbo-Zhoushan,Lázaro Cárdenas,3,"36,514.57","$109,543.71",6861.2,441.57,23316.0,25536.6,54.09,8422309900,116846.48,210000.0,16800.0,372288.0,5945.25,50507.19,0.0,0.0,17.9723,,,China
IMP-2023-0044,PO-202302-013,INV-1014-202302-0003,SUP-1014,SKU-134,2023-02-10,2023-04-12,2023-05-19,2023-05-19,2023-05-21,2023-05-23,Hapag-Lloyd,YM WELLNESS 141W,FOB,20GP,Nantong,Manzanillo,2,7389.25,14778.50,5970.9,57.89,2797.0,3137.1,8.53,8480710100,20807.29,18939.52,3030.32,64121.65,4211.35,28546.29,0.0,,18.2047,,,China
IMP-2023-0045,PO-202302-014,INV-1013-202302-0001,SUP-1013,SKU-137,13/02/2023,05/04/2023,10/05/2023,10/05/2023,12/05/2023,16/05/2023,MSC,HAPAG BERLIN EXPRESS 884W,CIF,40GP,Shanghai,Lázaro Cárdenas,4,32795.67,131182.68,,567.18,21821.2,24474.5,70.44,8428330100,131749.86,239846.67,19187.73,425200.17,6415.49,76368.03,0.0,0.0,18.2047,,,China
IMP-2023-0046,PO-202302-015,INV-1013-202302-0002,SUP-1013,SKU-109,2023-02-14,2023-04-08,2023-05-26,2023-06-13,2023-06-15,2023-06-17,Yang Ming Marine Transport,ONE APUS 890E,FOB,40GP,Shanghai,,2,77537.90,155075.80,7922.99,873.68,26814.4,29063.5,25.14,8458110100,163872.47,295342.44,23627.39,523583.07,5317.3,35941.88,,0.0,18.0227,,,China
IMP-2023-0047,PO-202302-016,INV-1008-202302-0002,SUP-1008,SKU-112,2023-02-14,2023-05-10,2023-06-19,2023-06-19,2023-06-24,,Hapag-Lloyd,ONE APUS 472E,FOB,20GP,Wenzhou,Manzanillo,1,69564.58,"$69,564.58",8102.95,375.31,2143.6,2329.2,7.1,8456110100,78042.84,140654.27,11252.34,249351.89,4013.36,18719.17,0.0,0.0,18.0227,1,Emergency stop tested and passed,China
IMP-2023-0048,PO-202302-017,INV-1005-202302-0002,SUP-1005,SKU-117,15/02/2023,13/05/2023,01/07/2023,01/07/2023,09/07/2023,11/07/2023,MSC,MAERSK ESSEX 127E,EXW,40GP,Shekou,Manzanillo,1,34936.60,34936.60,4930.03,0.0,11584.0,12870.2,17.24,8477100100,39866.63,71649.5,5731.96,127020.24,7084.86,25250.21,0.0,,17.9723,,,China
IMP-2023-0049,PO-202302-018,INV-1005-202302-0003,SUP-1005,SKU-138,18/02/2023,20/05/2023,11/07/2023,12/07/2023,20/07/2023,24/07/2023,Hapag-Lloyd,MAERSK ESSEX 598E,FOB,40GP,Shekou,Veracruz,1,11881.75,11881.75,9442.39,36.36,5253.7,5726.4,13.08,8428330100,21360.5,38389.73,3071.18,68057.32,5964.27,64857.44,0.0,0.0,17.9723,,,China
IMP-2023-0050,PO-202302-019,INV-1006-202302-0002,SUP-1006,SKU-114,2023-02-19,2023-05-26,2023-06-25,2023-07-03,2023-07-10,2023-07-13,COSCO Shipping Lines,MSC ANZU 454E,CIF,40HC,Ningbo-Zhoushan,Lázaro Cárdenas,-3,"69,291.68",-207875.04,0.0,660.54,39318.6,42675.3,78.77,8477100100,208535.58,374786.4,29982.91,664421.33,5362.88,62612.17,0.0,0.0,17.9723,,,China
IMP-2023-0051,PO-202302-020,INV-1014-202302-0004,SUP-1014,SKU-999,2023-02-21,2023-05-07,2023-06-11,2023-06-11,2023-06-20,2023-06-21,COSCO Shipping Lines,HAPAG BERLIN EXPRESS 734W,CIF,40GP,Nantong,Manzanillo,3,159819.12,479457.36,0.0,1581.07,55023.6,62649.9,52.01,8457100100,481038.43,866961.13,69356.89,1536948.69,5882.24,32328.25,0.0,0.0,18.0227,,,China
IMP-2023-0052,PO-202302-021,INV-1002-202302-0001,SUP-1002,SKU-112,2023-02-23,2023-05-17,2023-06-22,2023-06-30,2023-07-02,2023-07-03,Yang Ming Marine Transport,MAERSK ESSEX 717W,FOB,20GP,Shekou,Lázaro Cárdenas,2,66656.89,133313.78,7363.93,533.63,4287.2,4747.8,14.13,8458110100,141211.34,254500.96,20360.08,451179.3,5227.03,43390.01,25258.34,0.0,18.0227,,,China
IMP-2023-0053,PO-202302-022,INV-1014-202302-0005,SUP-1014,SKU-104,24/02/2023,05/05/2023,10/06/2023,10/06/2023,17/06/2023,20/06/2023,Ocean Network Express,COSCO ARIES 832W,FOB,40HC,Nantong,Manzanillo,1,160298.79,"$160,298.79",6735.87,,8636.7,9814.3,27.17,8457.10.01.00,167624.1,302103.89,24168.31,535569.77,4840.89,25947.47,0.0,0.0,18.0227,,,China
IMP-2023-0054,PO-202302-023,INV-1011-202302-0002,SUP-1011,SKU-113,02/24/2023,06/13/2023,07/22/2023,,07/26/2023,07/31/2023,Evergreen Marine,EVER LIBRA 272W,FOB,40GP,Shanghai,Manzanillo,2,58433.37,"$116,866.74",8998.86,400.44,6391.4,7141.0,34.83,8456110100,126266.04,226929.12,18154.33,402299.94,6498.27,23262.57,0.0,0.0,17.9723,0,Sin observaciones durante la inspección,China
IMP-2023-0055,PO-202302-024,INV-1001-202302-0002,SUP-1001,SKU-111,44984,45033,45075,45075,45081,45082,Evergreen Marine,MSC PALOMA 134E,FOB,40GP,Yantian,Manzanillo,3,45088.38,"$135,265.14",7440.88,494.97,5568.0,6018.9,45.11,8456110100,143200.99,260693.11,20855.45,462156.74,7418.1,34244.0,0.0,0.0,18.2047,,,China
IMP-2023-0056,PO-202303-001,INV-1011-202303-0001,SUP-1011,SKU-127,03/01/2023,05/19/2023,06/20/2023,07/24/2023,07/28/2023,07/29/2023,Maersk,MAERSK COLUMBUS 367W,CIF,40GP,SHANGHAI,Manzanillo,4,51966.41,207865.64,0.0,679.94,15302.0,17621.8,71.88,8422309900,208545.58,374804.37,29984.35,664453.19,6379.45,36731.63,44136.33,,17.9723,0,No issues found on inspection,China
IMP-2023-0057,PO-202303-002,INV-1008-202303-0001,SUP-1008,SKU-118,01/03/2023,25/05/2023,28/06/2023,28/06/2023,06/07/2023,07/07/2023,Maersk,COSCO VEGA 663W,FOB,40GP,Wenzhou,Manzanillo,1,28614.44,"$28,614.44",7109.73,159.07,6672.8,7625.5,12.38,8477100100,35883.24,64671.29,5173.7,114649.26,6604.56,20493.67,,,18.0227,0,No issues found on inspection,China
IMP-2023-0058,PO-202303-003,INV-1002-202303-0001,SUP-1002,SKU-124,02/03/2023,17/05/2023,15/06/2023,17/06/2023,09/07/2023,,MSC,MSC ANZU 591E,FOB,20GP,SHEKOU,Manzanillo,6,8118.89,"$48,713.34",6679.45,190.46,3427.2,3949.3,32.45,8414809900,55583.25,150264.04,8014.08,185606.14,8921.07,74055.06,0.0,0.0,18.0227,,,China
IMP-2023-0059,PO-202303-004,INV-1007-202303-0001,SUP-1007,SKU-141,44989,45036,45066,45069,45083,45087,Maersk,HAPAG BERLIN EXPRESS 540E,FOB,20GP,Ningbo-Zhoushan,Manzanillo,1,28380.55,28380.55,7334.82,,1895.6,2135.2,4.02,8515310100,35858.34,"MXN 97,918.55",5222.32,120948.99,7995.84,26741.65,0.0,6405.96,18.2047,,,China
IMP-2023-0060,PO-202303-005,INV-1011-202303-0002,SUP-1011,SKU-122,03/05/2023,06/08/2023,07/05/2023,07/23/2023,07/27/2023,07/30/2023,MSC,COSCO VEGA 461E,FOB,20GP,Shanghai,Lázaro Cárdenas,2,23698.14,"$47,396.28",9299.31,143.12,2588.4,2815.7,8.78,8414809900,56838.71,153228.35,8172.18,189267.66,4931.32,46427.05,8069.65,0.0,17.9723,0,No issues found on inspection,China
IMP-2023-0061,PO-202303-006,INV-1014-202303-0001,SUP-1014,SKU-120,05/03/2023,06/06/2023,14/07/2023,14/07/2023,17/07/2023,21/07/2023,Ocean Network Express,YM WELLNESS 763E,CIF,20GP,Nantong,Veracruz,4,58195.15,"$232,780.60",,,8731.2,9506.9,12.52,8479500100,233871.31,210160.27,33625.64,711518.6,5576.31,128330.43,0.0,0.0,17.9723,,,China
