sku,product_name,category,hs_code,unit_net_weight_kg,unit_volume_cbm,primary_supplier_id,list_price_usd,country_of_origin
SKU-122,Screw Air Compressor SAC-122,Air compressor,8414.80.99.00,1294.2,,SUP-1014,25430.0,China
SKU-123,Screw Air Compressor SAC-123,Air compressor,8414.80.99.00,1535.9,7.32,SUP-1003,19630.0,China
SKU-124,Screw Air Compressor SAC-124,Air compressor,8414.80.99.00,571.2,5.25,SUP-1002,8130.0,China
SKU-125,Screw Air Compressor SAC-125,Air compressor,8414.80.99.00,3330.5,7.0,SUP-1002,15450.0,China
SKU-126,Automatic Filling & Sealing Line PFS-126,Packaging machine,8422.30.99.00,6230.8,13.2,SUP-1008,32120.0,China
SKU-127,Automatic Filling & Sealing Line PFS-127,Packaging machine,8422.30.99.00,3825.5,19.27,SUP-1011,57330.0,China
SKU-128,Automatic Filling & Sealing Line PFS-128,Packaging machine,8422.30.99.00,5152.8,11.58,SUP-1007,54820.0,China
SKU-129,Automatic Filling & Sealing Line PFS-129,Packaging machine,8422.30.99.00,7772.0,18.25,SUP-1007,41250.0,China
SKU-130,Hydraulic Press HP-130,Hydraulic press,8462.91.01.00,22799.0,33.09,SUP-1007,86770.0,China
SKU-131,Hydraulic Press HP-131,Hydraulic press,8462.91.01.00,22577.7,25.75,SUP-1009,80720.0,China
SKU-132,Hydraulic Press HP-132,Hydraulic press,8462.91.01.00,14439.6,13.18,SUP-1007,32380.0,China
SKU-133,Hydraulic Press HP-133,Hydraulic press,8462.91.01.00,20272.3,30.47,SUP-1003,101100.0,China
SKU-134,Precision Injection Mould MD-134,Mould and die,8480.71.01.00,1398.5,4.41,SUP-1014,7660.0,China
SKU-135,Precision Injection Mould MD-135,Mould and die,8480.71.01.00,1888.3,,SUP-1011,4410.0,China
SKU-136,Precision Injection Mould MD-136,Mould and die,8480.71.01.00,1677.1,5.85,SUP-1011,20210.0,China
SKU-137,Modular Belt Conveyor CV-137,Conveyor system,8428.33.01.00,5455.3,18.25,SUP-1013,36080.0,China
SKU-138,Modular Belt Conveyor CV-138,Conveyor system,8428.33.01.00,5253.7,12.84,SUP-1005,12290.0,China
SKU-139,Modular Belt Conveyor CV-139,Conveyor system,8428.33.01.00,1033.8,9.55,SUP-1005,23800.0,China
SKU-140,Inverter Arc Welding Power Source AW-140,Arc welding machine,8515.31.01.00,1777.7,3.29,SUP-1013,28300.0,China
SKU-141,Inverter Arc Welding Power Source AW-141,Arc welding machine,8515.31.01.00,1895.6,4.11,SUP-1007,30130.0,China
SKU-142,Inverter Arc Welding Power Source AW-142,Arc welding machine,8515.31.01.00,1186.9,3.52,SUP-1012,7690.0,China
SKU-109,CNC Turning Centre TC-109 (superseded),CNC lathe,8458.11.01.00,13407.2,,SUP-1013,78194.13,China
SKU-115,Injection Moulding Machine IMM-115 (superseded),Injection moulding machine,8477.10.01.00,4563.0,19.12,SUP-1011,39871.68,China
SKU-102,CNC Vertical Machining Centre VMC-102 (superseded),CNC machining centre,8457.10.01.00,15063.7,20.54,SUP-1002,88198.95,China
